day,CHINA FEIHE LTD,ASSOC BRIT FOODS,ANHEUSER-BUSCH I,KONINKLIJKE AHOL,AIR FRANCE-KLM,AIR LIQUIDE SA,ALSTOM,ALTEN,ATOS SE,BEIERSDORF AG,DANONE,BUNZL PLC,BOOHOO GROUP PLC,BUREAU VERITAS S,LYX CAC 40,CAPGEMINI SE,CARLSBERG-B,CIE FINANCI-REG,COMPASS GROUP,DEUTSCHE BOERSE,DIAGEO PLC,DEUTSCHE POST-RG,DASSAULT SYSTEME,DWS GROUP GMBH &,ESSILORLUXOTTICA,ELIS SA,EURONEXT NV,FIAT CHRYSLER AU,EIFFAGE,GIVAUDAN-REG,HEINEKEN NV,HENKEL AG -PFD,HELLOFRESH SE,THALES SA,INTERTEK GROUP,INDITEX,JERONIMO MARTINS,KERING,KINGFISHER PLC,L'OREAL,PARTNERS GROUP J,PANDORA A/S,PSP SWISS PR-REG,RECKITT BENCKISE,REMY COINTREAU,RELX PLC,PERNOD RICARD SA,SOLUTIONS 30 SE,SEGRO PLC,SGS SA-REG,SEB SA,SWISS PRIME -REG,SCHNEIDER ELECTR,SYMRISE AG,TESCO PLC,PEUGEOT SA,UNILEVER PLC,VIVENDI,VONOVIA SE,WOLTERS KLUWER,WHITBREAD PLC,ZALANDO SE
27-juil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-juil.,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
29-juil.,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
30-juil.,0,0,0,0,0,1.5,0,0,0,0,0,0,0.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
31-juil.,0,0,0,0,0,1.6,0,0,0,0,0,0,0.1,4.1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.3,0,0,0,1.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
3-août,0,0,0,0,0,0,0,0,0,0,0.1,0,1.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-août,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
5-août,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.4,0,0,0,0,0,0.6,0,0,0,1.2,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0
6-août,0,0,0,0,0,1.8,0,0,0,0,0,0,2.2,4.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,3.5,0,0.5,0.3,0,0,0,0,0,0.4,0,0,0,2.9,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0
7-août,0,0,0,0,0,1.3,0,0,0,0,0,0,3.7,4.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,3.1,0,0.1,0.3,0,0,0,0,0,0.5,0,0,0,3.3,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0
